Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Piaggio,Sprint,2021,23456,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,42500000
Yamaha,Dòng khác,2020,4200,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,44000000
Yamaha,Exciter,2020,38000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,30000000
Yamaha,Grande,2018,8600,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15800000
Halim,Dòng khác,2002,50000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,5500000
Honda,SH,2014,48000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,54800000
Yamaha,Exciter,2020,8000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Nhật Bản,Bảo hành hãng,28800000
Yamaha,Grande,2020,9631,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,32000000
Honda,Vario,2022,5000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,55500000
Honda,Wave,2017,23456,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,11800000
Yamaha,Nvx,2019,22000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,31800000
Honda,Dream,2013,30000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,2600000
Honda,Air Blade,2012,9800,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8800000
Honda,Cub,1981,6000,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,7300000
Piaggio,LX,2014,11000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,17900000
Honda,Dream,1997,35000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,17000000
Honda,Wave,2003,1,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,11500000
Yamaha,Nouvo,2014,9000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,4200000
Honda,Wave,2006,70,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,7500000
Piaggio,Liberty,2014,6000,Đã sử dụng,Tay ga,100 - 175 cc,1,Đang cập nhật,8000000
SYM,Attila,2009,500000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,2500000
Honda,Wave,2013,11111,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,6800000
Honda,Wave,2005,123,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12900000
Yamaha,Exciter,2020,29000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,31000000
Honda,SH,2023,5555,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,58000000
Honda,Wave,2014,24849,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13300000
SYM,Angela,2008,200000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,2200000
Honda,SH,2016,8000,Đã sử dụng,Tay ga,Trên 175 cc,Đang cập nhật,Bảo hành hãng,63000000
Yamaha,Exciter,2014,250000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,17900000
Yamaha,Nouvo,2013,555,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12000000
Honda,Winner,2022,2300,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15600000
Yamaha,Acruzo,2016,123456,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15500000
Honda,Wave,2022,1179,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13000000
Yamaha,Mio,2012,2499,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,2800000
Honda,Click,2012,11000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10000000
Honda,Winner X,2022,1000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,25500000
Yamaha,Exciter,2016,12345,Đã sử dụng,Tay côn/Moto,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,7500000
