Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Honda,SH,2012,5000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,38.500.000 đ
Yamaha,Mio,2013,16000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8.000.000 đ
Honda,Wave,2022,1111,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,11.111.111 đ
Honda,Air Blade,2008,35000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,11.500.000 đ
Honda,Wave,2020,10,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,14.700.000 đ
Honda,Lead,2015,6000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,14.500.000 đ
Honda,Air Blade,2015,27294,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,22.000.000 đ
Yamaha,Nouvo,2013,33000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13.000.000 đ
SYM,Elite,2022,3000,Đã sử dụng,Tay ga,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,17.900.000 đ
Honda,Click,2010,25,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,10.500.000 đ
Honda,Cub,1996,280000,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,21.000.000 đ
Honda,Wave,2003,25000,Đã sử dụng,Xe số,100 - 175 cc,Nhật Bản,Bảo hành hãng,18.500.000 đ
Honda,Wave,2007,37000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8.900.000 đ
Yamaha,Mio,2011,12345,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.800.000 đ
Honda,Winner,2019,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,16.300.000 đ
Yamaha,Mio,2006,39000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,5.900.000 đ
Honda,SH,2016,5,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,33.500.000 đ
Yamaha,Mio,2006,5,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.500.000 đ
Yamaha,Exciter,2013,25,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13.900.000 đ
Honda,MSX 125,2019,8000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15.000.000 đ
SYM,Attila,2014,6868,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6.000.000 đ
Honda,Lead,2009,3568,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7.600.000 đ
Suzuki,Hayate,2011,8686,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,3.000.000 đ
Honda,Future,2011,100000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,17.500.000 đ
Yamaha,Grande,2022,3200,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,39.500.000 đ
Yamaha,Nouvo,2010,5000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,2.500.000 đ
Yamaha,Nvx,2017,20000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,21.500.000 đ
Honda,Winner X,2020,3500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,21.800.000 đ
Yamaha,TFX,2018,12000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,35.000.000 đ
Honda,Future,2008,111111,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,45.000.000 đ
Honda,Future,2016,18197,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,21.000.000 đ
Piaggio,Liberty,2012,6868,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.800.000 đ
Honda,Lead,2012,16000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9.600.000 đ
Honda,Cub,2019,500,Đã sử dụng,Xe số,Dưới 50 cc,1,Đang cập nhật,7.000.000 đ
